id,a,b,c
184,0.89,7.5,y
185,0.5,6.7,y
186,0.88,6,y
187,0.19,5.93,x
188,0.76,5.75,y
189,0.72,6.11,x
190,0.94,7.67,x
191,0.55,4.88,x
192,0.71,4.99,x
193,0.39,5.89,y
194,0.1,6.71,x
195,0.93,2.35,y
196,0.28,3.72,z
197,0.59,-0.31,x
198,0.11,5.51,z
199,0.84,4.37,x
200,0.32,3.64,x
201,0.78,4.72,x
202,0.27,7.44,x
203,0.22,7.77,x
204,0.52,4.26,x
205,0.27,2.61,y
206,0.18,2.87,z
207,0.52,6.75,z
208,0.56,2.86,y
209,0.13,5.67,x
210,0.26,7.2,y
211,0.72,6.22,z
212,0.96,4.57,x
213,0.1,5.09,z
214,0.76,7.74,z
215,0.95,5.58,y
216,0.82,1.99,z
217,0.31,9.02,y
218,0.65,4.32,y
219,0.95,3.32,y
220,0.95,3.04,x
221,0.34,6.15,x
222,0.26,8.93,x
223,0.17,5.7,y
224,0.32,6.36,y
225,0.51,1.09,y
226,0.92,4.61,y
227,0.51,5.48,x
228,0.31,8.63,y
229,0.05,4.19,x
230,0.42,5.04,y
231,0.85,6.47,y
232,0.35,5.19,y
233,0.13,7.35,z
234,0.37,5.69,y
235,0.63,7.16,y
236,0.39,2.87,z
237,0.69,6.02,x
238,0.69,7.21,y
239,0.55,6.7,x
240,0.43,5.13,y
241,0.45,7,x
242,0.31,7.13,x
243,0.58,5.02,x
244,0.91,4.54,y
245,0.14,9.64,z
246,0.42,6.85,x
247,0.21,5.46,z
248,0.43,5.6,z
249,0.13,3.29,y
250,0.46,5.24,x
251,0.94,4.75,z
252,0.76,5.9,z
253,0.93,7.79,y
254,0.47,6.07,y
255,0.6,2.22,y
256,0.48,6.59,z
257,0.11,8.84,x
258,0.25,5.73,y
259,0.5,8.14,x
260,0.37,3.51,z
261,0.93,4.32,z
262,0.52,5.3,z
263,0.32,7.1,x
264,0.28,5.32,z
265,0.79,3.17,y
266,0.7,1.74,y
267,0.17,5.05,z
268,0.06,7.77,z
269,0.75,7.61,y
270,0.62,7.06,y
271,0.17,6.96,y
272,0.06,6.01,y
273,0.11,4.11,x
274,0.38,5.18,x
275,0.17,4.17,x
276,0.3,6.99,z
277,0.19,4.81,z
278,0.26,5.13,y
279,0.18,5.38,z
280,0.48,6.31,z
281,0.77,4.74,y
282,0.03,0.91,x
283,0.53,4.86,z
284,0.88,5.72,z
285,0.37,6.35,y
286,0.05,0.8,y
287,0.14,6.41,x
288,0.32,7.96,y
289,0.15,5.69,y
290,0.13,6.91,y
291,0.22,5.41,x
292,0.23,5.2,x
293,0.13,3.52,z
294,0.98,3.43,x
295,0.33,2.26,z
296,0.51,7.07,z
297,0.68,3.53,x
298,0.1,4.52,z
299,0.12,5.94,y
300,0.05,6.46,z
301,0.93,2.63,x
302,0.67,8.43,x
303,0.09,2.8,z
304,0.49,3.07,x
305,0.46,-0.35,y
306,0.38,6.16,y
307,0.99,3.51,z
308,0.18,4.53,z
309,0.81,3.43,y
310,0.07,5.54,z
311,0.4,7.64,z
312,0.14,4.19,y
313,0.19,5.68,x
314,0.84,3.55,z
315,0.72,3.44,z
316,0.27,6.65,x
317,0.5,8.24,z
318,0.08,4.83,y
319,0.35,5.68,z
320,0.97,5.12,y
321,0.62,9,y
322,0.66,4.43,z
323,0.31,6.04,x
324,0.41,7.16,y
325,1,4.38,y
326,0.86,5.16,x
327,0.95,5.41,x
328,0.81,5.82,y
329,0.78,5.22,y
330,0.27,3.79,z
331,0.76,5.8,x
332,0.99,6.64,z
333,0.29,5.48,y
334,0.4,6.35,y
335,0.81,4.97,y
336,0.08,2.27,x
337,0.36,7.26,y
338,0.44,5.14,z
339,0.16,5.08,z
340,0.58,0.42,x
341,0.97,3.02,x
342,0.99,5.5,z
343,0.18,2.87,x
344,0.54,3.56,y
345,0.38,3.55,y
346,0.68,2.07,x
347,0.27,5.72,y
348,0.47,6.68,x
349,0.17,6.11,x
350,0.37,4.88,z
351,0.73,2.87,x
352,0.49,4.21,y
353,0.06,2.53,z
354,0.78,5.39,z
355,0.42,4.79,z
356,0.98,5.7,y
357,0.28,4.72,z
358,0.85,5.3,y
359,0.08,3.79,y
360,0.89,-0.23,x
361,0.47,4.45,x
362,0.11,5.91,x
363,0.33,4.27,x
364,0.84,5.39,x
365,0.28,6.37,y
366,0.59,6.6,z
367,0.84,1.62,y
368,0.07,5.96,y
369,0.7,5.73,x
370,0.7,3.47,z
371,0.46,3.54,z
372,0.44,4.19,x
373,0.56,6.7,y
374,0.93,2.17,x
375,0.23,4.29,z
376,0.22,6.39,z
377,0.42,6.1,z
378,0.33,4.33,y
379,0.86,5.73,x
380,0.18,5.6,z
381,0.49,9.52,y
382,0.43,4.31,x
383,0.56,6.67,y
384,0.66,6.64,x
385,0.98,4.98,z
386,0.23,2.44,x
387,0.24,8.69,y
388,0.8,4.23,y
389,0.83,4.09,x
390,0.11,4.35,x
391,0.96,5.89,z
392,0.15,4.5,x
393,0.14,9.56,z
394,0.93,4,x
395,0.51,5.63,z
396,0.15,6.27,y
397,0.35,1.08,z
398,0.66,5.07,y
399,0.31,2.36,x
400,0.35,1.35,x
401,0.15,6.53,z
402,0.66,6.6,y
403,0.19,5.86,x
404,0.95,6.82,z
405,0.9,4.28,x
406,0.94,4.54,x
407,0.72,2.1,x
408,0.37,6.94,x
409,0.78,1.32,y
410,0.01,6.61,z
411,0.94,6.85,y
412,0.99,5.88,y
413,0.36,3.93,z
414,0.75,7.69,x
415,0.79,5.23,z
416,0.71,7.4,z
417,0.48,3.55,y
418,0.49,7.51,z
419,0.31,5,y
420,0.7,4.42,z
421,0.82,6.93,z
422,0.43,6.65,z
423,0.51,4.85,y
424,0.66,2.1,x
425,0.14,1.63,y
426,0.34,7.12,z
427,0.41,5.61,x
428,0.09,6.15,y
429,0.93,5.35,y
430,0.84,3.24,y
431,0.88,6.03,y
432,0.94,0.72,y
433,0.07,5.65,x
434,0.38,-0.55,y
435,0.54,2.88,y
436,0.11,7.12,y
437,0.8,7.34,z
438,0.74,6.77,z
439,0.05,6.87,z
440,0.48,4.68,y
441,0.92,4.3,x
442,0.04,2.67,z
443,0.29,4.06,x
444,0.5,7.43,x
445,0.61,4.31,z
446,0.26,8.68,z
447,0.42,1.52,x
448,0.37,4.34,y
449,0.94,5.77,z
450,0.12,6.98,x
451,0.07,6.35,z
452,0.96,5.19,x
453,0.44,6.09,x
454,0.37,6.07,z
455,0.14,8.42,y
456,0.05,2.72,y
457,0.66,6.9,z
458,0.58,5.73,y
459,0.99,8.15,z
460,0.6,3.6,x
461,0.06,4.55,x
462,0.16,5.44,z
463,0.48,7.77,x
464,0,3.08,y
465,0.44,5.72,x
466,0.26,5.91,x
467,0.94,3.63,y
468,0.72,4.38,x
469,0.16,4.37,x
470,0.48,5.17,z
471,0.69,6.42,y
472,0.46,2.76,z
473,0.96,3.36,x
474,0.71,5.41,z
475,0.4,5.89,y
476,0.12,4.82,x
477,0.24,1.22,x
478,0.86,4.11,x
479,0.44,5.84,z
480,0.5,4.95,x
481,0.69,4.89,x
482,0.76,4.4,x
483,0.16,1.34,y
484,0.85,4.74,z
485,0.95,8.89,x
486,0.59,3.71,x
487,0.5,6.25,y
488,0.19,5.26,y
489,0,7.51,z
490,0.88,7.65,z
491,0.13,6.3,y
492,0.02,1.33,y
493,0.94,8.45,y
494,0.29,5.31,z
495,0.16,5.14,z
496,0.4,8.73,x
497,0.46,6.47,z
498,0.43,8.94,y
499,0.52,1.19,x
500,0.85,5.42,z
501,0.06,4.67,x
502,0.55,4.12,x
503,0.69,5.64,z
504,0.66,7.99,y
505,0.66,6.23,y
506,0.47,4.72,x
507,0.97,5.31,x
508,0.4,6.12,z
509,0.85,-0.33,y
510,0.76,3.33,z
511,0.53,6,z
512,0.87,6.66,y
513,0.47,4.78,x
514,0.01,5.53,x
515,0.73,2.25,y
516,0.72,6.09,z
517,0.19,2.2,z
518,0.65,3.15,x
519,0.54,2.8,x
520,0.34,4.63,z
521,0.64,4.8,z
522,0.83,6.33,x
523,0.71,4.41,z
524,0.35,2.68,y
525,0.13,5.1,y
526,0.39,6.16,x
527,0.93,4.63,y
528,0.8,4.42,y
529,0.76,2.86,y
530,0.96,5.21,z
531,0.99,4.79,y
532,0.61,5.1,z
533,0.03,3.92,z
534,0.34,0,y
535,0.28,4.87,y
536,0.12,1.96,z
537,0.04,2.26,z
538,0.37,7.34,z
539,0.34,6.5,x
540,0.17,2.06,y
541,0.62,2.66,z
542,0.4,3.71,z
543,0.96,3.61,z
544,0.65,1.22,x
545,0.33,4.11,z
546,0.2,6.33,y
547,0.12,5.21,x
548,1,4.31,x
549,0.38,4.34,x
550,0.56,5.82,x
551,0.73,6.08,z
552,0.87,4.56,x
553,0.57,3.45,y
554,0.01,4.4,x
555,0.91,3.96,x
556,0.77,5.09,y
557,0.38,2.6,y
558,0.09,9.37,z
559,0.05,5.51,x
560,0.82,3.27,y
561,0.83,0.8,x
562,0.65,6.73,z
563,0.13,4.91,y
564,0.34,4.99,x
565,0.73,4.35,z
566,0.91,5.89,y
567,0.7,8.2,x
568,0.24,4.3,x
569,0.64,5.93,x
570,0.28,4.91,z
571,0.96,6.51,x
572,0.16,10.58,z
573,0.42,6.3,x
574,0.25,1.21,y
575,0.09,2.1,z
576,0.83,7.16,z
577,0.53,2.26,y
578,0.67,3.31,y
579,0.41,3.95,x
580,0.84,2.26,y
581,0.74,4.4,z
582,0.35,2.3,z
583,0.95,6.11,x
584,0.65,7.37,x
585,0.04,4.96,x
586,0.6,2.01,z
587,0.42,4.57,x
588,0.08,1.99,x
589,0.53,5.42,z
590,0.96,4.04,x
591,0.71,5.85,y
592,0.55,10.53,y
593,0.24,2.92,z
594,0.78,2.06,x
595,0.65,2.84,z
596,0.83,3.93,z
597,0.65,4.7,z
598,0.48,2.66,y
599,0.5,8.47,z
600,0.38,6.14,x
601,0.45,4.11,x
602,0.81,7.45,x
603,0.93,5.78,y
604,0.15,3.7,y
605,0.75,3.75,z
606,0.98,8.06,z
607,0.97,3.27,y
608,0.35,4.71,y
609,0.39,2.51,z
610,0.95,1.55,y
611,0.11,3.37,z
612,0.93,4.75,z
613,0.35,6.13,z
614,0.53,3.14,z
615,0.54,3.79,x
616,0.71,3.33,x
617,0.41,0.35,x
618,0.15,6.73,y
619,0.34,3.57,y
620,0.63,4.16,x
621,0.06,0.35,x
622,0.85,8.79,y
623,0.21,5.28,x
624,0.77,5.56,z
625,0.14,5.75,z
626,0.32,4.3,y
627,0.62,2.45,y
628,0.26,1.65,y
629,0.63,2.37,y
630,0.49,5.47,z
631,0.94,6.37,z
632,0.86,6.06,y
633,0.37,4.26,y
634,0.31,3.83,x
635,0.83,3.21,y
636,0.45,4.42,x
637,0.32,2.93,y
638,0.1,5.44,y
639,0.06,10.41,z
640,0.69,4.66,z
641,0.67,6.17,z
642,0.9,3.2,x
643,0.3,2.64,x
644,0.93,4.25,z
645,0.2,10.36,x
646,0.79,6.09,z
647,0.22,7.62,x
648,0.03,5.98,z
649,0.86,5.12,x
650,0.69,4.8,y
651,0.94,3.1,z
652,0.68,5.53,z
653,0.84,7.73,x
654,0.36,5.13,z
655,0.39,5.53,y
656,0.57,4.5,y
657,0.1,4.95,x
658,0.19,6.69,x
659,0.59,6.18,z
660,0.75,7.37,y
661,0.87,7.07,z
662,0.37,6.75,y
663,0.8,6.38,z
664,0.06,5.97,z
665,0.62,7.24,z
666,0.36,2.82,x
667,0.59,4.12,y
668,0.91,4.95,y
669,0.2,9.1,y
670,0.37,3.71,x
671,0.67,5.94,y
672,0.77,5.03,z
673,0.52,4.57,y
674,0.83,7.63,y
675,0.53,4.84,z
676,0.5,-0.35,x
677,0.42,4.15,z
678,0.36,1.69,z
679,0.12,5.18,y
680,0.3,3.47,y
681,0.28,4.33,y
682,0.79,8.87,y
683,0.78,4.9,y
684,0.14,9.21,x
685,0.52,5.07,y
686,0.6,6.13,y
687,0.51,3.78,z
688,0.39,3.66,z
689,0.43,8.12,z
690,0.01,7.58,y
691,0.92,2.31,x
692,0.08,2.56,y
693,0.51,6.41,z
694,0.82,2.88,x
695,0.6,7.71,z
696,0.42,5.84,y
697,0.56,7.94,z
698,0.79,11.06,x
699,0.17,7.33,z
700,0.97,3.98,x
701,0.47,3.81,y
702,0.93,3.6,x
703,0.9,7.65,x
704,0.75,4.37,z
705,0.68,7.29,x
706,0.65,6.61,y
707,0.07,7.19,z
708,0.42,2.48,y
709,0.53,8.25,y
710,0.94,4.65,z
711,0.71,3.59,z
712,0.72,3.75,y
713,0.47,7.63,x
714,0.12,3.39,x
715,0.78,4.08,y
716,0.44,5.79,z
717,0.43,6.74,x
718,0.03,4.72,z
719,0.15,1.17,y
720,0.42,7.97,z
721,0.77,4.32,z
722,0,2.29,z
723,0.6,3.44,x
724,0.91,3.29,x
725,0.71,2.21,x
726,0.26,2.5,y
727,0.85,1.29,y
728,0.33,4.64,x
729,0.58,4.53,z
730,0.43,5.06,z
731,0.05,5.41,x
732,0.73,6.26,y
733,0.55,4.66,z
734,0.75,4.92,z
735,0.05,7.24,z
736,0.71,3.76,z
737,0.3,8.01,y
738,0.28,4.9,y
739,0.83,4.77,z
740,0.09,6.14,y
741,0.04,6.99,y
742,0.35,7.65,z
743,0.54,7.64,y
744,0.61,3.13,z
745,0.27,6.64,y
746,0.21,8.82,z
747,0.38,3.35,x
748,0.47,5.2,y
749,0.84,5.49,y
750,0.12,6.32,z
751,0.68,6.23,z
752,0.5,5.85,x
753,0.9,2.14,z
754,0.55,5.73,x
755,0.13,2.67,z
756,0.44,4.25,y
757,0.19,3.62,y
758,0.43,3.59,y
759,0.23,3.83,y
760,0.96,7.72,z
761,0.45,4.27,z
762,0.78,4.2,z
763,0.16,6.89,x
764,0.87,3.91,z
765,0.21,3.8,z
766,0.18,2.87,z
767,0.16,5.77,z
768,0.57,5.52,y
769,0.73,4.63,y
770,0.88,5.05,x
771,0.71,2.51,y
772,0.48,7.21,z
773,0.82,2.36,x
774,0.02,7.7,z
775,1,4.17,y
776,0.63,4.6,z
777,0.43,9.73,y
778,0.03,5.07,y
779,0.75,3.47,z
780,0.21,6.45,z
781,1,7.28,z
782,0.91,5.01,z
783,0.71,1.93,z
784,0.73,3.14,x
785,0.47,5.24,x
786,0.86,6.88,z
787,0.17,7.62,z
788,0.62,7.35,y
789,0.29,6.13,y
790,0.46,6.76,y
791,0.05,4.05,x
792,0.18,4.81,y
793,0.06,5.96,x
794,0.94,4.85,y
795,0.34,5.95,z
796,0.52,3.84,y
797,0.63,5.66,z
798,0.24,3.53,y
799,0.52,6.12,y
800,0.81,6.64,x
801,0.35,5.03,x
802,0.86,3.71,z
803,0.03,1.26,y
804,0.97,3.33,y
805,0.75,5.63,y
806,0.27,2.96,x
807,0.68,4.77,y
808,0.35,1.68,y
809,0.95,5.49,x
810,0.34,5.84,x
811,0.03,6.56,x
812,0.35,5.79,y
813,0.39,6.14,y
814,0.36,-0.63,x
815,0.96,6.6,y
816,0.38,4.3,y
817,0.55,6.19,y
818,0.93,5.08,y
819,0.92,7.95,x
820,0.24,7.11,x
821,0.72,3.39,y
822,0.35,3.19,z
823,0.55,6.35,x
824,0.74,4.77,y
825,0.82,1.17,y
826,0.87,2.96,y
827,0.04,1.61,y
828,0.22,6.18,z
829,0.37,3,x
830,0.31,7.18,x
831,0.73,2.24,y
832,0.7,3.23,y
833,0.91,2.54,x
834,0.85,7.48,z
835,0.78,4.81,y
836,0.4,5.4,z
837,0.58,3.69,y
838,0.08,3.08,z
839,0.87,3.59,y
840,0.96,5.86,x
841,0.51,4.16,y
842,0.92,6.03,z
843,0.13,0.4,x
844,0.24,6.72,y
845,0.49,3.73,x
846,0.47,4.17,z
847,0.43,2.8,x
848,0.04,5.9,y
849,0.64,6.56,y
850,0.72,4.83,y
851,0.35,2.71,z
852,0.95,5.68,y
853,0.74,3.52,z
854,0.05,1.25,z
855,0.98,5.34,y
856,0.22,5.09,z
857,0.04,5.49,z
858,0.26,5.16,y
859,0.72,4.97,y
860,0.25,3.14,x
861,0.23,3.2,y
862,0.02,7.3,z
863,0.26,6.69,x
864,0.69,5.1,y
865,0.03,9.98,x
866,0.06,6.17,x
867,0.4,5.63,z
868,0.49,10.35,x
869,0.63,4.84,y
870,0.72,4.73,z
871,0.08,3.09,y
872,0.42,3.93,y
873,0.97,7.4,z
874,0.81,2.58,z
875,0.22,2.83,x
876,0.49,6.36,y
877,0.01,7.13,x
878,0.26,4.39,y
879,0.45,7.4,x
880,0.74,7,z
881,0.99,6.26,y
882,0.33,6.63,z
883,0.94,2.99,y
884,0.96,6.7,x
885,0.9,1.45,x
886,0.49,4.84,x
887,0.78,5.58,x
888,0.8,2.31,x
889,0.68,4.86,z
890,0.58,3.37,z
891,0.33,4.62,y
892,0,6.55,y
893,0.07,5.3,z
894,0.09,5.94,y
895,0.01,4,z
896,0.34,4.27,z
897,0.12,5.52,y
898,0.59,5.8,y
899,0.04,6.1,y
900,0.01,8.04,z
901,0.16,6.83,x
902,0.83,8.05,y
903,0.77,7.84,y
904,0.27,5.08,y
905,0.19,7.55,z
906,0.23,3.71,z
907,0.06,5.01,z
908,0.06,5.33,x
909,0.17,8.2,y
910,0.07,2.15,z
911,0.04,5.63,z
912,0.52,2.18,z
913,0.79,4.13,x
914,0.69,3.91,x
915,0.07,6.32,z
916,0.02,10.53,x
917,0.44,5.98,x
918,0.16,6.6,y
919,0.72,5.89,x
920,0.7,7.09,x
921,0.89,8.13,z
922,0.33,5.37,y
923,0.97,4.81,z
924,0.98,4.19,y
925,0.04,4.35,x
926,0.89,2.73,y
927,0.82,5.44,x
928,0.72,3.57,z
929,0.29,6.85,z
930,0.5,6.53,y
931,0.43,2.91,y
932,0.61,2.84,x
933,0.93,3.31,x
934,0.24,6,z
935,0.27,2.7,x
936,0.74,6.93,x
937,0.75,5.01,x
938,0.93,6.25,z
939,0.46,7.84,z
940,0.86,8.71,z
941,0.31,6.71,z
942,0.21,6.32,z
943,0.92,4.45,x
944,0.05,6.18,y
945,0.41,8.54,x
946,0.46,5.45,x
947,0.42,5.89,x
948,0.67,5.91,y
949,0.76,5.62,x
950,0.91,6.15,x
951,0.82,6.78,x
952,0.09,5.7,y
953,0.18,4.85,x
954,0.64,0.36,y
955,0.87,5.82,y
956,0.59,5.03,z
957,0.26,3.18,y
958,0.88,5.97,y
959,0.19,2.7,z
960,0.49,4.79,x
961,0.01,3.81,x
962,0.36,7.18,z
963,0.44,6.75,z
964,0.13,9.68,y
965,0.62,9.25,y
966,0.3,7.63,y
967,0.24,9.3,z
968,0.36,8,z
969,0.89,2.82,x
970,0.99,7.71,x
971,0.73,4.24,y
972,0.99,5.66,x
973,0.54,3.66,z
974,0.43,3.42,x
975,0.96,4.35,x
976,0.15,6.99,z
977,0.07,3.73,z
978,0.02,3.06,y
979,0.61,7.65,z
980,0.7,4.3,z
981,0.8,4.45,y
982,0.14,2.31,x
983,0.16,5.48,x
984,0.99,-0.43,z
985,0.4,5.3,y
986,0.19,6.81,x
987,0.48,5.38,x
988,0.54,4.92,z
989,0.33,6.98,x
990,1,7.17,y
991,0.53,6.34,x
992,0.13,4.47,x
993,0.44,2.7,z
994,0.62,6.66,z
995,0.2,3.78,y
996,0.13,8.47,x
997,0.78,0.75,x
998,0.64,7.2,x
999,0.28,2.84,x
1000,0.19,5.09,y
1001,0.27,4.16,z
1002,0.53,2.46,x
1003,0.68,6.68,x
1004,0.38,6.08,y
1005,0.95,8.74,x
1006,0.12,5.89,x
1007,0.04,5.66,z
1008,0.5,1.18,z
1009,0.58,7.72,z
1010,0.84,6.47,y
1011,0.65,7.76,y
1012,0.94,5.28,y
1013,0.51,7.45,z
1014,0.08,7.89,z
1015,0.99,7.52,x
1016,0.4,6.83,y
1017,0.9,7.39,z
1018,0.88,4.06,y
1019,0.3,3.39,z
1020,0.13,3.12,z
1021,0.27,5.29,x
1022,0.01,2.14,x
1023,0.82,3.37,x
1024,0.17,4.8,z
1025,0.84,5.16,z
1026,0.17,4.84,x
1027,0.76,3.62,x
1028,0.52,2.81,z
1029,0.27,7.21,z
1030,0.34,2.67,z
1031,0.71,5.91,y
1032,0.59,5.94,y
1033,0.47,4.81,z
1034,0.34,4.06,z
1035,0.97,6.11,y
1036,0.65,5.09,y
1037,0.2,3.78,x
1038,0.36,4.85,x
1039,0.51,3.76,y
1040,0.88,4.37,x
1041,0.15,7.36,y
1042,0.23,4.7,x
1043,0.16,3.22,x
1044,0.61,5.64,x
1045,0.5,6.42,y
1046,0.19,5.87,z
1047,0.41,4.08,z
1048,0.58,4.13,y
1049,0.31,4.19,y
1050,0.48,4.85,y
1051,0.94,4.1,z
1052,0.05,3.85,y
1053,0.53,7.53,x
1054,0.44,7.64,x
1055,0.91,6.21,z
1056,0.88,4.28,x
1057,0.16,8.89,x
1058,0.75,8.25,z
1059,0.4,6.26,x
1060,0.56,6.95,z
1061,0.08,6.65,z
1062,0.12,5.61,x
1063,0.93,0.83,x
1064,0.88,4.17,x
1065,0.16,2.36,z
1066,0.53,4.7,y
1067,0.93,5.49,x
1068,0.33,7.57,x
1069,0.16,9.7,y
1070,0.95,6.36,y
1071,0.46,3.85,z
1072,0.22,6.44,z
1073,0,8.72,z
1074,0.62,1.94,y
1075,0.4,4.38,y
1076,0.9,4.42,y
1077,0.51,3.37,y
1078,0.97,7.49,z
1079,0.03,5.65,y
1080,0.38,3.67,z
1081,0.39,2.65,y
1082,0.34,5.64,x
1083,0.36,1.01,x
1084,0.64,2.46,z
1085,0.03,7.09,z
1086,0.7,4.24,z
1087,0.82,7.13,z
1088,0.51,3.44,y
1089,0.11,5.43,y
1090,0.91,3.66,x
1091,0.41,3.36,z
1092,0.47,7.18,z
1093,0.71,3.57,z
1094,0.24,4.77,y
1095,0.3,4.24,y
1096,0.7,5.32,x
1097,0.77,7.19,x
1098,0.01,3.88,y
1099,0.55,5.96,z
1100,0.65,3.11,z
1101,0.93,2.85,z
1102,0.69,5.12,x
1103,0.25,5.54,y
1104,0.41,8.26,x
1105,0.12,5.24,x
1106,0.13,2.34,y
1107,0.64,2.95,y
1108,0.35,3.92,y
1109,0.42,2.91,y
1110,0.94,2.89,z
1111,0.38,4.32,y
1112,0.23,0.85,z
1113,0.69,8.22,y
1114,0.01,2.11,y
1115,0.69,5.52,y
1116,0.79,3.05,x
1117,0.51,5.6,x
1118,0.31,4.16,x
1119,0.74,4.64,z
1120,0.3,3.67,y
1121,0.77,4.33,z
1122,0.11,3.73,x
1123,0.8,4.8,y
1124,0.49,2.04,z
1125,0.83,3.79,x
1126,0.76,3.01,y
1127,0.9,6.94,z
1128,0.28,7.25,z
1129,0.45,5.32,y
1130,0.27,4.62,x
1131,0.33,4.95,x
1132,0.86,6.5,z
1133,0.11,6.07,x
1134,0.4,2.05,z
1135,0.41,4.2,y
1136,0.38,4.41,z
1137,0.18,4.69,x
1138,0.27,5.78,x
1139,0.66,10.87,x
1140,0.82,3.46,y
1141,0.42,-0.01,y
1142,0.16,5.51,z
1143,0.29,3.55,z
1144,0.8,4.69,x
1145,0.16,4.48,x
1146,0.79,7.02,z
1147,0.52,5.22,y
1148,0.32,4.95,x
1149,0.28,4.63,z
1150,0.8,2.89,z
1151,0.1,6.16,z
1152,0.84,6.12,z
1153,0.08,1.13,z
1154,0.72,3.58,z
1155,0.86,1.9,y
